,content,like,link,title
10,,0.0,https://www.indeed.ca/rc/clk?jk=79c92b8f7023f256&fccid=cb94cfaf4856cc5b&vjs=3,Data Scientist
11,,0.0,https://www.indeed.ca/rc/clk?jk=db4178733c09d159&fccid=d33243ac6c394a10&vjs=3,"Data Scientist, Big Data"
12,,0.0,https://www.indeed.ca/rc/clk?jk=5136455dae8cc2f4&fccid=986361104086c3ae&vjs=3,Receptionist and Administrative Assistant
13,,0.0,https://www.indeed.ca/rc/clk?jk=fbdbb454761352e1&fccid=d33243ac6c394a10&vjs=3,Data Engineering Professional
14,,0.0,https://www.indeed.ca/rc/clk?jk=7adb591f5175ea5e&fccid=eaabf52abd909bd5&vjs=3,"Software Engineer, Data Collections"
15,,0.0,https://www.indeed.ca/rc/clk?jk=59025f3511144aa5&fccid=2d88a9c34448e1e0&vjs=3,Clinical Research Assistant
16,,0.0,https://www.indeed.ca/company/Synced-Technology-Inc./jobs/Part-Time-Intern-Analyst-3f60a993a2148f07?fccid=946e23b76f5e1cf3&vjs=3,Part-Time Intern Analyst
17,,0.0,https://www.indeed.ca/rc/clk?jk=547e61720f422eb3&fccid=760d328f33860375&vjs=3,Program Quality Analyst
18,,0.0,https://www.indeed.ca/rc/clk?jk=01f29cec6eca4c1c&fccid=0e72716ba678c6fb&vjs=3,"Customer Engagement, Intern (Summer 2020) Job"
19,,0.0,https://www.indeed.ca/rc/clk?jk=4050d1038f985fdb&fccid=986361104086c3ae&vjs=3,Payroll Officer
20,,0.0,https://www.indeed.ca/rc/clk?jk=c841886be109a545&fccid=b46df65bdf7d0cc6&vjs=3,BI Specialist
21,,0.0,https://www.indeed.ca/rc/clk?jk=3044bf25adb07fb6&fccid=986361104086c3ae&vjs=3,Advancement Coordinator
22,,0.0,https://www.indeed.ca/rc/clk?jk=325b3c671b69a03c&fccid=467aefff3a9cf758&vjs=3,Junior Analytics Specialist
23,,0.0,https://www.indeed.ca/rc/clk?jk=8f9c73945b282c03&fccid=f2087b51205d4920&vjs=3,SIGN BUILDING CODE EXAMINER INSPECTOR
24,,0.0,https://www.indeed.ca/rc/clk?jk=70cd0d571bfecc66&fccid=3cd8dc0c6b0df1c6&vjs=3,Data Engineer
25,,0.0,https://www.indeed.ca/rc/clk?jk=3c44602ed584a4ab&fccid=2d88a9c34448e1e0&vjs=3,Software Developer
